Artist,Track,Album,Album_type,Stream,Danceability,Energy,Key,Key_name,Loudness,Speechiness,Acousticness,Liveness,Valence,Tempo,Tempo_category,Duration_ms,Licensed,official_video
Taio Cruz,She's Like A Star,Departure,album,21507482.0,0.51,0.601,7,G,-4.629,0.103,0.000345,0.141,0.38,133.151,Allegro,218707.0,True,True
Leonardo,Um Degrau na Escada - Ao Vivo,Leonardo e Eduardo Costa no Cabaré (Ao Vivo),album,23338304.0,0.66,0.727,2,D,-5.439,0.0322,0.513,0.94,0.623,140.075,Allegro,213853.0,True,True
Damas Gratis,El humo de mi fasito,100% Negro Cumbiero,album,30229674.0,0.594,0.841,5,F,-3.292,0.0826,0.183,0.171,0.786,84.295,Andante,212253.0,False,False
IU,strawberry moon,strawberry moon,single,33708653.0,0.475,0.712,6,F# / Gb,-3.306,0.0431,0.138,0.0936,0.443,169.796,Vivace,205333.0,True,True
Rahat Fateh Ali Khan,Isq Risk,Mere Brother Ki Dulhan,album,18847047.0,0.846,0.634,10,A# / Bb,-7.753,0.0432,0.122,0.146,0.944,104.964,Andante,295079.0,True,True
James Horner,The Ludlows,Legends Of The Fall Original Motion Picture Soundtrack,album,41883037.0,0.156,0.0223,7,G,-27.684,0.0367,0.938,0.0998,0.0495,72.844,Adagio,340400.0,False,False
Jason Mraz,Lucky,We Sing. We Dance. We Steal Things.,album,584335743.0,0.625,0.414,0,C,-8.7,0.0369,0.294,0.151,0.669,130.088,Allegro,189613.0,True,True
Wiz Khalifa,No Sleep,Rolling Papers,album,184905162.0,0.653,0.711,9,A,-6.454,0.0623,0.109,0.443,0.769,160.048,Vivace,191320.0,False,True
Dominic Fike,Babydoll,"Don't Forget About Me, Demos",album,143988805.0,0.762,0.604,7,G,-5.296,0.11,0.114,0.0271,0.847,168.007,Vivace,97960.0,True,True
Jonas Brothers,Leave Before You Love Me (with Jonas Brothers),Leave Before You Love Me,single,539669724.0,0.721,0.738,7,G,-4.77,0.0403,0.00226,0.118,0.637,119.976,Moderato / Allegretto,154983.0,True,True
Major Lazer,"My Love (feat. Major Lazer, WizKid, Dua Lipa)",Shine,album,136886345.0,0.728,0.811,7,G,-4.278,0.0564,0.0453,0.362,0.705,114.995,Moderato / Allegretto,228707.0,True,True
Hugh Jackman,Look Down,Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition),album,16504157.0,0.406,0.367,0,C,-12.006,0.151,0.903,0.128,0.333,76.019,Adagio,196680.0,False,False
Ms. Lauryn Hill,Nothing Even Matters (feat. D'Angelo),The Miseducation of Lauryn Hill,album,69682284.0,0.539,0.363,10,A# / Bb,-13.888,0.166,0.701,0.14,0.549,136.422,Allegro,350533.0,False,False
Bunbury,...Y al final,Flamingos,album,57742599.0,0.686,0.318,8,G# / Ab,-11.683,0.0354,0.771,0.26,0.181,121.959,Allegro,262120.0,True,True
JP Cooper,Losing Me,Dear Happy,album,105420504.0,0.662,0.405,7,G,-8.397,0.0542,0.245,0.109,0.283,134.031,Allegro,181760.0,False,True
Alex Zurdo,"UNO (feat. Alex Zurdo, Funky, Redimi2, Christian Ponce, Almighty, Ander Bock)",UNO,album,9227462.0,0.577,0.882,11,B,-3.19,0.392,0.241,0.0964,0.39,174.18,Vivace,441070.0,False,False
Jadakiss,New York (feat. A Boogie Wit Da Hoodie & Jadakiss),Rebel vs. Rowdy,album,4421606.0,0.465,0.546,5,F,-8.749,0.295,0.077,0.314,0.186,97.886,Andante,235200.0,True,True
Los Inquietos Del Norte,Mi Amigo el de Arriba,La Gritera,album,62908755.0,0.721,0.801,7,G,-7.058,0.0648,0.417,0.0739,0.649,122.327,Allegro,146467.0,True,True
Mika Singh,Pungi,Agent Vinod,album,9155939.0,0.939,0.933,10,A# / Bb,-2.688,0.0819,0.235,0.0293,0.708,122.994,Allegro,247827.0,True,True
Vybz Kartel,Gal a Weh Do You,Pon Di Gaza 2.0,album,5694420.0,0.577,0.637,6,F# / Gb,-6.86,0.315,0.0533,0.0654,0.593,106.499,Andante,176733.0,False,False
Gloria Trevi,No Querías Lastimarme,De Película,album,141353319.0,0.376,0.695,5,F,-3.683,0.0795,0.168,0.0954,0.328,70.168,Adagio,224333.0,True,True
Elvis Crespo,Nuestra Cancion,Suavemente,album,35174994.0,0.691,0.891,3,D# / Eb,-2.912,0.0443,0.452,0.237,0.934,126.217,Allegro,208800.0,False,False
TheFatRat,Fly Away,Fly Away,single,151567792.0,0.597,0.581,1,C# / Db,-4.565,0.0366,0.59,0.137,0.212,147.987,Allegro,194268.0,True,True
Inspector,Amnesia,Alma En Fuego,album,119757012.0,0.504,0.748,6,F# / Gb,-5.395,0.0473,0.349,0.0989,0.766,144.76,Allegro,241627.0,False,False
Survivor,"Burning Heart - From ""Rocky IV"" Soundtrack",Survivor Greatest Hits,compilation,190974511.0,0.652,0.609,9,A,-9.684,0.028,0.298,0.0573,0.646,98.125,Andante,230107.0,False,False
"Grover Washington, Jr.","Take Me There (7"" Version)",In the Name of Love: The Elektra Recordings 1979-1984,album,110189.0,0.808,0.468,7,G,-12.457,0.0493,0.762,0.146,0.689,132.734,Allegro,207013.0,False,False
Dewa 19,Dewi,The 2000's Greatest,album,17583499.0,0.624,0.833,0,C,-6.65,0.0345,0.0843,0.145,0.953,79.993,Andante,261364.0,True,True
Estopa,Tu Calorro,Estopa,album,79802096.0,0.713,0.768,0,C,-9.115,0.0662,0.229,0.447,0.962,88.012,Andante,190627.0,True,True
Ciara,Goodies (feat. Petey Pablo),Goodies,album,137417124.0,0.826,0.647,5,F,-6.306,0.0491,0.0277,0.298,0.872,102.017,Andante,223000.0,True,True
Robin Schulz,Young Right Now,Young Right Now,single,113778627.0,0.539,0.708,5,F,-6.189,0.0976,0.0129,0.14,0.381,123.039,Allegro,186141.0,True,True
Nekfeu,On verra,Feu,album,93911872.0,0.575,0.58,0,C,-6.801,0.067,0.166,0.0781,0.324,75.2,Adagio,211413.0,True,True
Mariah Carey,Hero,Music Box,album,218020440.0,0.501,0.378,4,E,-9.37,0.029,0.735,0.119,0.178,119.987,Moderato / Allegretto,257733.0,True,True
The Cranberries,Promises,Bury The Hatchet,album,31344129.0,0.501,0.864,4,E,-3.231,0.0502,0.0628,0.169,0.247,130.061,Allegro,327573.0,True,True
Juelz Santana,23 & 1,23 & 1,single,2090984.0,0.764,0.661,11,B,-7.272,0.219,0.227,0.323,0.461,97.964,Andante,249847.0,True,True
De La Ghetto,Instagram - Remix,Siempre Blessd,album,21781608.0,0.787,0.677,11,B,-2.825,0.228,0.199,0.0584,0.966,179.951,Presto,243623.0,False,False
De La Ghetto,La Ocasión,La Ocasión,single,229626806.0,0.739,0.627,9,A,-6.063,0.128,0.293,0.477,0.251,134.045,Allegro,336149.0,True,True
Natti Natasha,Mayor Que Usted,Mayor Que Usted,single,87208105.0,0.625,0.839,6,F# / Gb,-4.824,0.0927,0.00762,0.464,0.771,184.08,Presto,233520.0,True,True
Gregory Alan Isakov,San Luis,Evening Machines,album,94282961.0,0.567,0.434,7,G,-12.755,0.0349,0.86,0.115,0.254,82.459,Andante,272347.0,True,True
Killswitch Engage,My Last Serenade,Alive or Just Breathing (Topshelf Edition),album,28271204.0,0.441,0.943,3,D# / Eb,-4.996,0.138,0.000506,0.122,0.142,177.971,Presto,253760.0,True,True
Slipknot,Custer,.5: The Gray Chapter (Special Edition),album,112251097.0,0.407,0.98,7,G,-1.58,0.107,0.00174,0.119,0.537,131.066,Allegro,254467.0,True,True
La Sonora Santanera,Perfume de Gardenias,20 Exitos,album,31068041.0,0.503,0.586,4,E,-2.521,0.0283,0.65,0.283,0.668,105.155,Andante,192427.0,False,False
